Arbeiderpartiet;949049;874769;800947;726896
Fremskrittspartiet;614717;463560;444681;359663
Høyre;462458;760232;732895;868113
Kristelig Folkeparti;148748;158475;122797;109822
Senterpartiet;165006;155357;302017;370522
Sosialistisk Venstreparti;166361;116021;176222;181152
Venstre;104144;148275;127910;139793
Miljøpartiet de Grønne;9286;79152;94788;137539
Rødt;36219;30751;70522;87673
Norges Kommunistiske Parti;697;611;309;115
Pensjonistpartiet;11900;11865;12855;13332
Alliansen;0;0;3311;4966
Feministisk Initiativ;0;0;696;1044
Helsepartiet;0;0;10337;15505
Liberalistene;0;0;5599;8398
Nordmørslista;0;0;2135;3202
Nordting;0;0;59;88
Norgespartiet;0;0;151;226
Verdipartiet;0;0;148;222
Samfunnspartiet;140;295;104;86
Kystpartiet;5341;3311;2467;1030
Demokratene i Norge;0;2214;3830;5745
Partiet De Kristne;0;17731;8700;13050
Piratpartiet;0;9869;3356;5034
